player_name,pos,school,predicted_pick,predicted_team
Fernando Carmona,G,Arkansas,257.83282,Undrafted
Logan Taylor,G,Boston Col.,258.11066,Undrafted
Emmanuel Pregnon,G,Oregon,258.54578,Undrafted
Alex Harkey,G,Oregon,258.87036,Undrafted
William Schrauth,G,Notre Dame,259.0549,Undrafted
Bishop Fitzgerald,SAF,USC,260.90265,Undrafted
Ar'maj Reed-Adams,G,Texas A&M,273.46164,Undrafted
Garrett DiGiorgio,G,UCLA,277.5182,Undrafted
Evan Beerntsen,G,Northwestern,279.04144,Undrafted
Beau Stephens,G,Iowa,282.24847,Undrafted
